lc_path,count lc 1,count lc 2,count lc 3,count lc 4,count lc 5,count lc 6,count lc 15
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807504_ne_18_1_20130907_lc.tif,1201646,13651571,29019141,322881,958701,683924,0
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807503_se_18_1_20130907_lc.tif,200675,13077043,31452034,211264,566546,478758,0
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807512_sw_18_1_20130907_lc.tif,152745,11378726,31908373,152615,1561957,845484,0
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807514_sw_18_1_20130912_lc.tif,651084,20203906,22665387,242854,1203867,790537,0
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807511_se_18_1_20130907_lc.tif,95291,18536393,26318319,66165,529176,516736,0
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807512_nw_18_1_20130907_lc.tif,159694,16781540,27143384,202457,1019460,649435,0
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807515_se_18_1_20130905_lc.tif,1686770,6737919,16189773,696660,2849590,1168730,16255944
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807506_nw_18_1_20130915_lc.tif,5048942,11224335,24121765,329530,122956,108135,4703731
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807506_sw_18_1_20130915_lc.tif,1367254,7736609,34445687,164253,475915,462458,1045003
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807511_sw_18_1_20130907_lc.tif,348228,25839145,18974540,163333,385366,407603,0
/mnt/blobfuse/resampled-lc/data/v1/2013/states/de/de_1m_2013/38075/m_3807512_se_18_1_20130907_lc.tif,223964,21854052,22530699,142864,655060,523553,0
