naip_path,lc_path,nlcd_path
/mnt/blobfuse/esri-naip/data/v1/2011/states/md/md_1m_2011/38075/m_3807540_ne_18_1_20110604.mrf,/mnt/blobfuse/resampled-lc/data/v1/2013/states/md/md_1m_2013/38075/m_3807540_ne_18_1_20130905_lc.tif,/mnt/blobfuse/resampled-nlcd/data/v1/2011/states/md/md_1m_2011/38075/m_3807540_ne_18_1_20110604_nlcd.tif
/mnt/blobfuse/esri-naip/data/v1/2011/states/md/md_1m_2011/39077/m_3907719_nw_18_1_20110714.mrf,/mnt/blobfuse/resampled-lc/data/v1/2013/states/md/md_1m_2013/39077/m_3907719_nw_18_1_20130815_lc.tif,/mnt/blobfuse/resampled-nlcd/data/v1/2011/states/md/md_1m_2011/39077/m_3907719_nw_18_1_20110714_nlcd.tif
/mnt/blobfuse/esri-naip/data/v1/2011/states/md/md_1m_2011/39077/m_3907731_sw_18_1_20110603.mrf,/mnt/blobfuse/resampled-lc/data/v1/2013/states/md/md_1m_2013/39077/m_3907731_sw_18_1_20130904_lc.tif,/mnt/blobfuse/resampled-nlcd/data/v1/2011/states/md/md_1m_2011/39077/m_3907731_sw_18_1_20110603_nlcd.tif
/mnt/blobfuse/esri-naip/data/v1/2011/states/md/md_1m_2011/39075/m_3907550_ne_18_1_20110630.mrf,/mnt/blobfuse/resampled-lc/data/v1/2013/states/md/md_1m_2013/39075/m_3907550_ne_18_1_20130907_lc.tif,/mnt/blobfuse/resampled-nlcd/data/v1/2011/states/md/md_1m_2011/39075/m_3907550_ne_18_1_20110630_nlcd.tif
/mnt/blobfuse/esri-naip/data/v1/2011/states/md/md_1m_2011/39076/m_3907627_ne_18_1_20110727.mrf,/mnt/blobfuse/resampled-lc/data/v1/2013/states/md/md_1m_2013/39076/m_3907627_ne_18_1_20130917_lc.tif,/mnt/blobfuse/resampled-nlcd/data/v1/2011/states/md/md_1m_2011/39076/m_3907627_ne_18_1_20110727_nlcd.tif
/mnt/blobfuse/esri-naip/data/v1/2011/states/md/md_1m_2011/38077/m_3807731_sw_18_1_20110629.mrf,/mnt/blobfuse/resampled-lc/data/v1/2013/states/md/md_1m_2013/38077/m_3807731_sw_18_1_20130924_lc.tif,/mnt/blobfuse/resampled-nlcd/data/v1/2011/states/md/md_1m_2011/38077/m_3807731_sw_18_1_20110629_nlcd.tif
/mnt/blobfuse/esri-naip/data/v1/2011/states/md/md_1m_2011/38075/m_3807510_sw_18_1_20110604.mrf,/mnt/blobfuse/resampled-lc/data/v1/2013/states/md/md_1m_2013/38075/m_3807510_sw_18_1_20130816_lc.tif,/mnt/blobfuse/resampled-nlcd/data/v1/2011/states/md/md_1m_2011/38075/m_3807510_sw_18_1_20110604_nlcd.tif
/mnt/blobfuse/esri-naip/data/v1/2011/states/md/md_1m_2011/38075/m_3807562_ne_18_1_20110602.mrf,/mnt/blobfuse/resampled-lc/data/v1/2013/states/md/md_1m_2013/38075/m_3807562_ne_18_1_20130905_lc.tif,/mnt/blobfuse/resampled-nlcd/data/v1/2011/states/md/md_1m_2011/38075/m_3807562_ne_18_1_20110602_nlcd.tif
/mnt/blobfuse/esri-naip/data/v1/2011/states/md/md_1m_2011/39077/m_3907747_nw_18_1_20110629.mrf,/mnt/blobfuse/resampled-lc/data/v1/2013/states/md/md_1m_2013/39077/m_3907747_nw_18_1_20130904_lc.tif,/mnt/blobfuse/resampled-nlcd/data/v1/2011/states/md/md_1m_2011/39077/m_3907747_nw_18_1_20110629_nlcd.tif
/mnt/blobfuse/esri-naip/data/v1/2011/states/md/md_1m_2011/39076/m_3907651_sw_18_1_20110630.mrf,/mnt/blobfuse/resampled-lc/data/v1/2013/states/md/md_1m_2013/39076/m_3907651_sw_18_1_20130917_lc.tif,/mnt/blobfuse/resampled-nlcd/data/v1/2011/states/md/md_1m_2011/39076/m_3907651_sw_18_1_20110630_nlcd.tif
